"site2","Yr","Mnth.x","Julian","Hr","count","Mnth.y","degc_avg"
"A",2019,"May",142,15,0,NA,NA
"A",2019,"May",142,16,0,"May",21.5777777777778
"A",2019,"May",142,17,0,"May",19.7666666666667
"A",2019,"May",142,18,0,"May",18.1277777777778
"A",2019,"May",142,20,0,"May",14.1777777777778
"A",2019,"May",142,21,0,"May",13.4611111111111
"A",2019,"May",142,22,0,"May",12.9555555555556
"A",2019,"May",142,23,1,"May",13.2111111111111
"A",2019,"May",143,0,0,"May",13.5166666666667
"A",2019,"May",143,1,0,"May",11.5166666666667
"A",2019,"May",143,2,2,"May",12.1833333333333
"A",2019,"May",143,3,1,"May",11.9444444444444
"A",2019,"May",143,4,0,"May",11.2777777777778
"A",2019,"May",143,8,0,"May",18.3388888888889
"A",2019,"May",144,11,2,"May",24.1888888888889
"A",2019,"May",144,13,0,"May",26.4611111111111
"A",2019,"May",144,14,0,"May",27.5611111111111
"A",2019,"May",144,15,0,"May",27.7277777777778
"A",2019,"May",144,16,0,"May",27.4388888888889
"A",2019,"May",144,17,0,"May",24.9611111111111
"A",2019,"May",144,18,0,"May",22.9722222222222
"A",2019,"May",144,19,0,"May",20.75
"A",2019,"May",144,20,0,"May",17.9055555555556
"A",2019,"May",144,21,0,"May",16.2833333333333
"A",2019,"May",144,22,0,"May",15.4
"A",2019,"May",144,23,0,"May",14.8888888888889
"A",2019,"May",145,0,0,"May",15.6666666666667
"A",2019,"May",145,1,0,"May",16.2944444444444
"A",2019,"May",145,2,0,"May",16.1833333333333
"A",2019,"May",145,3,0,"May",14.9055555555556
"A",2019,"May",145,4,3,"May",13.35
"A",2019,"May",145,5,56,"May",12.4666666666667
"A",2019,"May",145,6,1,"May",15.4888888888889
"A",2019,"May",145,7,0,"May",19.5333333333333
"A",2019,"May",145,8,0,"May",22.9888888888889
"A",2019,"May",145,9,0,"May",25.8222222222222
"A",2019,"May",145,10,0,"May",29.0777777777778
"A",2019,"May",145,12,0,"May",29.9055555555556
"A",2019,"May",145,13,0,"May",29.65
"A",2019,"May",145,14,0,"May",29.2444444444444
"A",2019,"May",145,15,0,"May",28.4333333333333
"A",2019,"May",145,16,0,"May",25.3388888888889
"A",2019,"May",145,17,0,"May",24.4277777777778
