"Yr","Mnth","Julian","Hr","site2","Hr2","Julian2"
2020,"Apr",102,2,"A4",8,101
2020,"Apr",102,4,"A4",10,101
2020,"Apr",103,3,"A4",9,102
2020,"Apr",105,4,"A2",10,104
2020,"Apr",105,5,"A2",11,104
2020,"Apr",105,22,"A2",4,105
2020,"Apr",105,23,"A4",5,105
2020,"Apr",106,0,"A2",6,105
2020,"Apr",106,0,"A4",6,105
2020,"Apr",106,1,"A2",7,105
2020,"Apr",106,1,"A4",7,105
2020,"Apr",106,1,"A4",7,105
2020,"Apr",106,2,"A4",8,105
2020,"Apr",106,2,"A4",8,105
2020,"Apr",106,3,"A2",9,105
2020,"Apr",106,3,"A2",9,105
2020,"Apr",106,3,"A2",9,105
2020,"Apr",106,3,"A4",9,105
2020,"Apr",106,4,"A4",10,105
2020,"Apr",106,4,"A4",10,105
2020,"Apr",106,4,"A4",10,105
2020,"Apr",106,4,"A4",10,105
2020,"Apr",106,4,"A4",10,105
2020,"Apr",106,7,"A4",13,105
2020,"Apr",106,21,"A4",3,106
2020,"Apr",107,1,"A4",7,106
2020,"Apr",107,2,"A2",8,106
2020,"Apr",107,2,"A4",8,106
2020,"Apr",107,2,"A4",8,106
2020,"Apr",107,3,"A2",9,106
2020,"Apr",107,3,"A4",9,106
2020,"Apr",107,4,"A2",10,106
2020,"Apr",107,4,"A4",10,106
2020,"Apr",107,5,"A2",11,106
2020,"Apr",107,5,"A2",11,106
2020,"Apr",109,5,"A2",11,108
2020,"Apr",109,5,"A4",11,108
2020,"Apr",109,6,"A2",12,108
2020,"Apr",111,5,"A4",11,110
2020,"Apr",111,6,"A4",12,110
2020,"Apr",112,1,"A4",7,111
2020,"Apr",112,22,"A2",4,112
2020,"Apr",112,23,"A3",5,112
2020,"Apr",113,0,"A3",6,112
2020,"Apr",113,0,"A3",6,112
2020,"Apr",113,1,"A3",7,112
2020,"Apr",113,1,"A3",7,112
2020,"Apr",113,1,"A3",7,112
2020,"Apr",113,1,"A4",7,112
2020,"Apr",113,1,"A4",7,112
2020,"Apr",113,2,"A2",8,112
2020,"Apr",113,2,"A2",8,112
2020,"Apr",113,2,"A2",8,112
2020,"Apr",113,2,"A2",8,112
2020,"Apr",113,2,"A3",8,112
2020,"Apr",113,2,"A3",8,112
2020,"Apr",113,2,"A3",8,112
2020,"Apr",113,2,"A3",8,112
2020,"Apr",113,3,"A1",9,112
2020,"Apr",113,3,"A1",9,112
2020,"Apr",113,3,"A1",9,112
2020,"Apr",113,3,"A1",9,112
2020,"Apr",113,3,"A3",9,112
2020,"Apr",113,3,"A3",9,112
2020,"Apr",113,3,"A3",9,112
2020,"Apr",113,3,"A3",9,112
2020,"Apr",113,4,"A2",10,112
2020,"Apr",113,4,"A2",10,112
2020,"Apr",113,5,"A1",11,112
2020,"Apr",113,5,"A1",11,112
2020,"Apr",113,6,"A1",12,112
2020,"Apr",113,6,"A1",12,112
2020,"Apr",113,23,"A2",5,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2019,"Apr",114,5,"C",11,113
2020,"Apr",115,3,"A3",9,114
2020,"Apr",115,4,"A2",10,114
2020,"Apr",115,4,"A2",10,114
2020,"Apr",115,4,"A2",10,114
2020,"Apr",115,4,"A3",10,114
2020,"Apr",115,4,"A3",10,114
2020,"Apr",115,4,"A4",10,114
2019,"Apr",115,5,"C",11,114
2019,"Apr",115,5,"C",11,114
2020,"Apr",115,5,"A2",11,114
2020,"Apr",115,5,"A3",11,114
2020,"Apr",115,5,"A3",11,114
2019,"Apr",115,6,"C",12,114
2020,"Apr",115,6,"A3",12,114
2020,"Apr",115,8,"A1",14,114
2020,"Apr",115,8,"A1",14,114
2020,"Apr",115,8,"A1",14,114
2020,"Apr",115,8,"A1",14,114
2020,"Apr",115,8,"A3",14,114
2020,"Apr",115,8,"A3",14,114
2020,"Apr",115,16,"A3",22,114
2020,"Apr",116,2,"A3",8,115
2020,"Apr",116,2,"A3",8,115
2020,"Apr",116,4,"A2",10,115
2019,"Apr",116,13,"D",19,115
2019,"Apr",116,13,"D",19,115
2019,"Apr",116,13,"D",19,115
2019,"Apr",116,13,"D",19,115
2019,"Apr",116,13,"D",19,115
2019,"Apr",116,13,"D",19,115
2019,"Apr",116,13,"D",19,115
2019,"Apr",116,20,"C",2,116
2020,"Apr",116,20,"A2",2,116
2019,"Apr",117,3,"C",9,116
2020,"Apr",117,4,"A2",10,116
2020,"Apr",117,4,"A2",10,116
2020,"Apr",117,4,"A2",10,116
2020,"Apr",117,5,"A2",11,116
2019,"Apr",117,17,"C",23,116
2020,"Apr",118,2,"A3",8,117
2019,"Apr",118,3,"C",9,117
2019,"Apr",118,3,"C",9,117
2020,"Apr",118,3,"A4",9,117
2020,"Apr",118,3,"A4",9,117
2020,"Apr",118,4,"A1",10,117
2020,"Apr",118,4,"A1",10,117
2020,"Apr",118,4,"A2",10,117
2020,"Apr",118,4,"A2",10,117
2020,"Apr",118,4,"A3",10,117
2020,"Apr",118,4,"A3",10,117
2020,"Apr",118,4,"A3",10,117
2020,"Apr",118,4,"A3",10,117
2020,"Apr",118,4,"A3",10,117
2020,"Apr",118,5,"A3",11,117
2020,"Apr",118,6,"A3",12,117
2020,"Apr",118,7,"A3",13,117
2020,"Apr",118,12,"A3",18,117
2020,"Apr",118,13,"A3",19,117
2020,"Apr",119,20,"A4",2,119
2019,"Apr",120,5,"C",11,119
2019,"Apr",120,5,"C",11,119
2020,"Apr",120,6,"A2",12,119
2020,"Apr",121,3,"A3",9,120
2020,"Apr",121,3,"A4",9,120
2019,"May",121,4,"C",10,120
2020,"Apr",121,4,"A3",10,120
2020,"Apr",121,4,"A3",10,120
2020,"Apr",121,6,"A3",12,120
2019,"May",122,1,"C",7,121
2019,"May",122,1,"C",7,121
2019,"May",122,1,"D",7,121
2019,"May",122,2,"C",8,121
2019,"May",122,2,"C",8,121
2019,"May",122,2,"C",8,121
2019,"May",122,2,"C",8,121
2019,"May",122,3,"C",9,121
2019,"May",122,3,"C",9,121
2019,"May",122,3,"C",9,121
2019,"May",122,3,"C",9,121
2019,"May",122,5,"C",11,121
2019,"May",122,6,"C",12,121
2020,"May",122,6,"A1",12,121
2019,"May",122,19,"C",1,122
2020,"May",122,22,"A3",4,122
2020,"May",123,0,"A4",6,122
2019,"May",123,2,"C",8,122
2019,"May",123,2,"C",8,122
2019,"May",123,2,"C",8,122
2019,"May",123,2,"D",8,122
2019,"May",123,3,"C",9,122
2019,"May",123,5,"C",11,122
2019,"May",123,20,"D",2,123
2019,"May",124,1,"C",7,123
2019,"May",124,2,"C",8,123
2019,"May",124,3,"C",9,123
2019,"May",124,3,"C",9,123
2019,"May",124,3,"C",9,123
2019,"May",124,4,"C",10,123
2020,"May",125,22,"A3",4,125
2020,"May",125,22,"A3",4,125
2020,"May",125,22,"A4",4,125
2020,"May",125,23,"A4",5,125
2020,"May",126,0,"A1",6,125
2020,"May",126,0,"A2",6,125
2020,"May",126,0,"A3",6,125
2020,"May",126,1,"A2",7,125
2020,"May",126,1,"A2",7,125
2020,"May",126,1,"A4",7,125
2020,"May",126,4,"A1",10,125
2020,"May",126,7,"A4",13,125
