"site","Year","Julian","nObs","NowPrDay"
"MWoolf_east",2019,187,48,28
"MWoolf_east",2019,189,48,39
"MWoolf_east",2019,228,47,26
"MWoolf_east",2019,229,46,45
"MWoolf_east",2019,234,46,23
"MWoolf_west",2019,145,24,60
"MWoolf_west",2019,148,23,66
"MWoolf_west",2019,149,23,50
"MWoolf_west",2019,150,23,27
"MWoolf_west",2019,187,47,30
"MWoolf_west",2019,189,48,40
"MWoolf_west",2019,190,45,35
"MWoolf_west",2019,194,48,30
"MWoolf_west",2019,196,47,32
"MWoolf_west",2019,204,47,20
"MWoolf_west",2019,250,48,57
"MWoolf_west",2019,252,43,25
"MWoolf_west",2019,257,47,35
"MWoolf_west",2019,264,47,27
"MWoolf_west",2019,265,48,66
"MWoolf_west",2019,268,47,54
"MWoolf_west",2019,269,43,62
"MWoolf_west",2019,299,48,38
"Perez",2019,191,47,24
"Perez",2019,230,47,29
"Perez",2019,232,47,25
"usda",2019,266,47,20
