"site","site2","Date_time","degf_avg","degf_lo","degf_hi","rh_avg","degc_avg","Yr","Mnth","Julian","Hr"
"Perez","E",2019-06-04 16:00:00,88.7,86.2,90.5,59.84,31.5,2019,"Jun",155,16
"Perez","E",2019-06-04 17:00:00,84,82.4,85.6,69.78,28.8888888888889,2019,"Jun",155,17
"Perez","E",2019-06-04 18:00:00,80.67,79,82.2,74.41,27.0388888888889,2019,"Jun",155,18
"Perez","E",2019-06-04 19:00:00,77.52,76.3,78.6,78.51,25.2888888888889,2019,"Jun",155,19
"Perez","E",2019-06-04 20:00:00,74.84,73.6,76.3,78.06,23.8,2019,"Jun",155,20
"Perez","E",2019-06-04 21:00:00,72.88,72.5,73.4,77.65,22.7111111111111,2019,"Jun",155,21
"Perez","E",2019-06-04 22:00:00,72.58,72.1,73,73.03,22.5444444444444,2019,"Jun",155,22
"Perez","E",2019-06-04 23:00:00,72.6,71.8,73.8,66.74,22.5555555555556,2019,"Jun",155,23
"Perez","E",2019-06-05 00:00:00,73.73,72.1,74.7,60.63,23.1833333333333,2019,"Jun",156,0
"Perez","E",2019-06-05 01:00:00,73.12,71.6,74.3,63.34,22.8444444444444,2019,"Jun",156,1
"Perez","E",2019-06-05 02:00:00,67.7,66.2,70.3,84.75,19.8333333333333,2019,"Jun",156,2
"Perez","E",2019-06-05 03:00:00,66,65.8,66.2,86.29,18.8888888888889,2019,"Jun",156,3
"Perez","E",2019-06-05 04:00:00,65.66,65.1,66,82.2,18.7,2019,"Jun",156,4
"Perez","E",2019-06-05 05:00:00,64.23,63.9,64.9,89.07,17.9055555555556,2019,"Jun",156,5
"Perez","E",2019-06-05 06:00:00,66.65,64.6,69.3,93.03,19.25,2019,"Jun",156,6
"Perez","E",2019-06-05 07:00:00,74.02,70,78.4,86.67,23.3444444444444,2019,"Jun",156,7
"Perez","E",2019-06-05 08:00:00,80.11,78.3,83.7,75.99,26.7277777777778,2019,"Jun",156,8
"Perez","E",2019-06-05 09:00:00,87.88,85.3,88.9,58.65,31.0444444444444,2019,"Jun",156,9
"Perez","E",2019-06-05 10:00:00,89.74,88.3,90.9,55.58,32.0777777777778,2019,"Jun",156,10
"Perez","E",2019-06-05 11:00:00,92.41,91.4,93.2,54.66,33.5611111111111,2019,"Jun",156,11
"Perez","E",2019-06-05 12:00:00,93.71,92.8,94.5,52.67,34.2833333333333,2019,"Jun",156,12
"Perez","E",2019-06-05 13:00:00,94.96,93.9,96.1,53.04,34.9777777777778,2019,"Jun",156,13
"Perez","E",2019-06-05 14:00:00,93.79,93,94.5,55.85,34.3277777777778,2019,"Jun",156,14
"Perez","E",2019-06-05 15:00:00,91.94,90.7,92.8,57.91,33.3,2019,"Jun",156,15
"Perez","E",2019-06-05 16:00:00,89.49,87.4,90.7,63.37,31.9388888888889,2019,"Jun",156,16
