"datetime","pest_nmbr","pest_dif","reviewed","event","site"
2019-04-26 13:56:00,7,7,"Yes",NA,"UCKearney"
2019-04-26 14:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 15:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 16:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 17:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 18:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 19:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 20:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 21:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 22:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-26 23:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 00:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 01:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 02:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 03:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 04:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 05:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 06:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 08:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 09:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 10:10:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 11:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 12:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 12:55:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 13:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 14:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 15:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 16:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 17:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 18:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 19:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 20:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 21:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 22:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-27 23:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 00:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 01:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 02:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 03:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 04:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 05:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 06:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 07:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 09:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 10:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 11:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 12:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 13:01:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 13:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 14:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 15:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 16:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 17:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 18:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 19:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 20:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 21:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-28 22:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 00:08:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 00:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 01:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 02:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 03:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 04:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 05:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 07:10:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 07:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 09:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 09:59:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 11:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 12:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 13:00:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 14:04:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 14:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 15:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 17:06:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 17:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 18:56:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 19:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 20:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 21:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 22:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-29 23:57:00,7,0,"Yes",NA,"UCKearney"
2019-04-30 00:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-30 01:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-30 02:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-30 03:58:00,7,0,"Yes",NA,"UCKearney"
2019-04-30 03:58:01,0,0,"No","Sticky roll tweak","UCKearney"
2019-04-30 04:58:00,0,0,"No",NA,"UCKearney"
2019-04-30 05:58:00,0,0,"No",NA,"UCKearney"
2019-04-30 06:59:00,0,0,"No",NA,"UCKearney"
2019-04-30 07:59:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 08:59:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 09:59:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 11:00:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 12:00:00,0,0,"No",NA,"UCKearney"
2019-04-30 13:00:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 14:00:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 15:00:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 16:00:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 16:56:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 17:56:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 18:56:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 19:56:00,0,0,"Yes",NA,"UCKearney"
2019-04-30 20:57:00,0,0,"No",NA,"UCKearney"
2019-04-30 21:57:00,0,0,"No",NA,"UCKearney"
2019-04-30 22:57:00,0,0,"No",NA,"UCKearney"
2019-04-30 23:57:00,0,0,"No",NA,"UCKearney"
2019-05-01 00:58:00,0,0,"No",NA,"UCKearney"
2019-05-01 01:57:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 02:58:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 03:58:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 04:59:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 05:58:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 06:59:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 07:59:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 08:59:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 09:59:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 10:59:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 12:00:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 13:00:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 14:00:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 15:00:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 16:01:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 17:56:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 18:56:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 19:56:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 20:56:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 21:56:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 22:57:00,0,0,"Yes",NA,"UCKearney"
2019-05-01 23:57:00,0,0,"Yes",NA,"UCKearney"
2019-05-02 00:57:00,0,0,"Yes",NA,"UCKearney"
2019-05-02 01:57:00,1,1,"Yes",NA,"UCKearney"
2019-05-02 02:58:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 03:58:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 04:58:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 05:58:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 06:58:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 07:59:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 08:59:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 10:09:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 10:59:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 12:10:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 13:00:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 14:00:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 15:00:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 16:00:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 17:00:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 18:00:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 18:56:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 19:56:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 20:56:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 21:56:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 22:56:00,1,0,"Yes",NA,"UCKearney"
2019-05-02 23:57:00,1,0,"Yes",NA,"UCKearney"
2019-05-03 00:57:00,1,0,"Yes",NA,"UCKearney"
2019-05-03 01:57:00,1,0,"Yes",NA,"UCKearney"
2019-05-03 02:57:00,2,1,"Yes",NA,"UCKearney"
2019-05-03 03:57:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 04:58:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 05:58:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 06:58:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 07:58:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 08:58:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 09:59:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 10:59:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 11:59:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 12:59:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 14:00:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 15:00:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 16:00:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 17:00:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 18:00:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 19:01:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 19:56:00,2,0,"Yes",NA,"UCKearney"
2019-05-03 20:56:00,3,1,"Yes",NA,"UCKearney"
2019-05-03 21:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-03 22:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-03 23:56:00,3,0,"Yes",NA,"UCKearney"
2019-05-04 00:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-04 01:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-04 02:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-04 03:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-04 04:57:00,3,0,"Yes",NA,"UCKearney"
2019-05-04 05:58:00,3,0,"Yes",NA,"UCKearney"
2019-05-04 06:58:00,3,0,"Yes",NA,"UCKearney"
