"site","Date_time","degf_avg","degf_lo","degf_hi","rh_avg"
"UCKearney","2019-05-16 17:00:00",56.07,55.4,56.8,83.05
"UCKearney","2019-05-16 18:00:00",57.52,56.1,58.6,81.71
"UCKearney","2019-05-16 19:00:00",55.04,53.8,56.8,90.42
"UCKearney","2019-05-16 20:00:00",53.51,52.9,54.1,95.09
"UCKearney","2019-05-16 21:00:00",52.42,52,52.9,97.7
"UCKearney","2019-05-16 22:00:00",52.28,52,52.7,97.18
"UCKearney","2019-05-16 23:00:00",53.09,52.7,53.6,90.31
"UCKearney","2019-05-17 00:00:00",53.18,52.7,53.8,89.25
"UCKearney","2019-05-17 01:00:00",52.28,51.6,53.1,93.29
"UCKearney","2019-05-17 02:00:00",52.47,52.2,52.9,91.55
"UCKearney","2019-05-17 03:00:00",52.28,51.6,52.9,90.48
"UCKearney","2019-05-17 04:00:00",51,50.4,51.6,92.96
"UCKearney","2019-05-17 05:00:00",50.2,49.6,51.1,90.86
"UCKearney","2019-05-17 06:00:00",51.25,50,52.3,87.62
"UCKearney","2019-05-17 07:00:00",54,52.7,54.9,82.44
"UCKearney","2019-05-17 08:00:00",56.3,54.9,57.4,74.88
"UCKearney","2019-05-17 09:00:00",58.32,57.4,59.4,69.58
"UCKearney","2019-05-17 10:00:00",59.71,58.6,60.4,64.75
"UCKearney","2019-05-17 11:00:00",61.37,59.7,63.1,61.99
"UCKearney","2019-05-17 12:00:00",64.09,62.6,64.9,52.71
"UCKearney","2019-05-17 13:00:00",65.95,64.2,67.3,50.95
"UCKearney","2019-05-17 14:00:00",67.31,65.8,68.4,47.88
"UCKearney","2019-05-17 15:00:00",68.38,66.7,69.4,46.66
"UCKearney","2019-05-17 16:00:00",68.74,68,69.3,46.28
"UCKearney","2019-05-17 17:00:00",67.93,67.5,68.5,47.52
"UCKearney","2019-05-17 18:00:00",67.03,66,67.6,48.65
"UCKearney","2019-05-17 19:00:00",63.58,61.7,65.7,55.75
"UCKearney","2019-05-17 20:00:00",60.73,59.9,61.5,63.13
"UCKearney","2019-05-17 21:00:00",57.41,55.6,59.7,76.44
"UCKearney","2019-05-17 22:00:00",57,55.8,58.1,75.33
"UCKearney","2019-05-17 23:00:00",56.46,55,57.6,76.13
"UCKearney","2019-05-18 00:00:00",52.68,51.3,54.9,90.33
"UCKearney","2019-05-18 01:00:00",52.19,50.7,53.6,90.29
"UCKearney","2019-05-18 02:00:00",50.17,49.5,50.9,95.9
"UCKearney","2019-05-18 03:00:00",49.13,48.6,49.5,97.55
"UCKearney","2019-05-18 04:00:00",48.3,47.8,49.1,98.61
"UCKearney","2019-05-18 05:00:00",47.58,47.3,48,99.7
"UCKearney","2019-05-18 06:00:00",50.27,47.8,52.2,99.78
"UCKearney","2019-05-18 07:00:00",55.1,52.7,57.4,89.31
"UCKearney","2019-05-18 08:00:00",59.25,57.7,60.8,78.23
"UCKearney","2019-05-18 09:00:00",62.32,61,64,70.03
"UCKearney","2019-05-18 10:00:00",65.91,64.4,66.9,60.94
"UCKearney","2019-05-18 11:00:00",68.56,67.3,69.6,54.58
"UCKearney","2019-05-18 12:00:00",67.63,66.2,68.9,58.73
"UCKearney","2019-05-18 13:00:00",66.26,65.8,66.7,62.82
"UCKearney","2019-05-18 14:00:00",66.88,66.4,67.5,62.15
"UCKearney","2019-05-18 15:00:00",66.08,65.3,66.6,59.49
"UCKearney","2019-05-18 16:00:00",63.66,60.6,64.9,66.74
"UCKearney","2019-05-18 17:00:00",57.6,56.1,59.4,88.54
"UCKearney","2019-05-18 18:00:00",55.03,54.1,55.8,92.23
"UCKearney","2019-05-18 19:00:00",53.46,52.3,54.1,96.4
"UCKearney","2019-05-18 20:00:00",52.57,52.3,53.2,98.35
"UCKearney","2019-05-18 21:00:00",52.6,52.3,53.4,100.24
"UCKearney","2019-05-18 22:00:00",52.63,52.3,53.2,100.95
"UCKearney","2019-05-18 23:00:00",52.83,52.7,53.4,101.08
"UCKearney","2019-05-19 00:00:00",52.5,52.3,53.1,100.46
"UCKearney","2019-05-19 01:00:00",52.03,51.6,52.5,100.53
"UCKearney","2019-05-19 02:00:00",51.63,51.4,52.3,101.15
"UCKearney","2019-05-19 03:00:00",51.73,51.4,52.3,101.29
"UCKearney","2019-05-19 04:00:00",52,51.8,52.5,101.84
"UCKearney","2019-05-19 05:00:00",52.13,52,52.7,102.11
"UCKearney","2019-05-19 06:00:00",52.72,52.2,53.2,102.22
"UCKearney","2019-05-19 07:00:00",53.83,53.1,54.7,100.95
"UCKearney","2019-05-19 08:00:00",56.08,54.9,57,97.04
"UCKearney","2019-05-19 09:00:00",57.92,56.3,60.1,94.68
"UCKearney","2019-05-19 10:00:00",60.93,58.6,61.7,80.96
"UCKearney","2019-05-19 11:00:00",60.25,57.2,62.1,71.08
"UCKearney","2019-05-19 12:00:00",53.92,51.8,60.4,87.34
"UCKearney","2019-05-19 13:00:00",56.86,53.6,60.4,83.48
"UCKearney","2019-05-19 14:00:00",62.2,61.2,64.2,69.82
"UCKearney","2019-05-19 15:00:00",64.91,61.5,66.6,57.88
"UCKearney","2019-05-19 16:00:00",63.03,61.3,65.8,59.44
"UCKearney","2019-05-19 17:00:00",60.73,60.3,61.3,63.17
"UCKearney","2019-05-19 18:00:00",58.1,55.4,61.5,72.25
"UCKearney","2019-05-19 19:00:00",53.93,52.3,55,88.24
"UCKearney","2019-05-19 20:00:00",53,52.5,53.4,92.1
"UCKearney","2019-05-19 21:00:00",53.87,53.4,54.5,88.75
"UCKearney","2019-05-19 22:00:00",53.38,52.2,54.1,92.38
"UCKearney","2019-05-19 23:00:00",52.15,51.6,52.7,96.13
"UCKearney","2019-05-20 00:00:00",52.35,52,52.9,92.84
"UCKearney","2019-05-20 01:00:00",51.72,51.4,52.7,90.86
"UCKearney","2019-05-20 02:00:00",51.25,50.9,51.8,92.69
"UCKearney","2019-05-20 03:00:00",49.14,48,50.5,97.16
"UCKearney","2019-05-20 04:00:00",47.78,47.1,48.6,99.46
"UCKearney","2019-05-20 05:00:00",46.94,46.6,47.5,100.47
"UCKearney","2019-05-20 06:00:00",48.46,47.7,49.6,99.46
"UCKearney","2019-05-20 07:00:00",52.13,50.2,53.4,89.68
"UCKearney","2019-05-20 08:00:00",54.97,53.8,56.1,79.75
"UCKearney","2019-05-20 09:00:00",57.33,55.8,59.2,71.93
"UCKearney","2019-05-20 10:00:00",59.62,58.3,61,66.45
"UCKearney","2019-05-20 11:00:00",61.25,59.9,62.1,63.28
"UCKearney","2019-05-20 12:00:00",63.41,62.1,65.3,57.29
"UCKearney","2019-05-20 13:00:00",65.44,64.2,66.7,53.03
"UCKearney","2019-05-20 14:00:00",67.21,66.4,68.2,51.2
"UCKearney","2019-05-20 15:00:00",67.91,66.7,68.5,50.98
"UCKearney","2019-05-20 16:00:00",68.46,67.5,69.6,48.57
"UCKearney","2019-05-20 17:00:00",67.88,67.1,68.9,49.45
"UCKearney","2019-05-20 18:00:00",66.9,65.8,68.2,52.82
"UCKearney","2019-05-20 19:00:00",62.76,60.4,65.7,64.41
"UCKearney","2019-05-20 20:00:00",58.45,55.9,60.3,78.86
"UCKearney","2019-05-20 21:00:00",55.7,55.4,56.1,87.7
"UCKearney","2019-05-20 22:00:00",55.55,54.3,56.5,85.88
"UCKearney","2019-05-20 23:00:00",55.63,54.3,56.5,83.04
"UCKearney","2019-05-21 00:00:00",53.5,52.3,54.1,87.13
"UCKearney","2019-05-21 01:00:00",51.45,50,52.7,91.9
"UCKearney","2019-05-21 02:00:00",49.7,49.1,50.2,96.03
"UCKearney","2019-05-21 03:00:00",50.53,49.3,51.6,93.88
"UCKearney","2019-05-21 04:00:00",51.6,51.1,52.2,91.03
"UCKearney","2019-05-21 05:00:00",51.5,50.7,52,90.58
