"Date_time","degf_avg","degf_lo","degf_hi","rh_avg","site"
2020-04-22 02:00:00,51.5,50.2,52.5,90.27,"MWT1"
2020-04-22 03:00:00,49.53,48.9,49.8,93.83,"MWT1"
2020-04-22 04:00:00,49.68,48.9,50.4,94.21,"MWT1"
2020-04-22 05:00:00,49.52,49.1,49.8,94.05,"MWT1"
2020-04-22 06:00:00,51.53,49.8,53.8,94.83,"MWT1"
2020-04-22 07:00:00,60.33,55,63.5,74.45,"MWT1"
2020-04-22 08:00:00,68.64,65.1,72,54.68,"MWT1"
2020-04-22 09:00:00,74.51,72.7,76.1,45.17,"MWT1"
2020-04-22 10:00:00,76.79,74.5,78.6,41.04,"MWT1"
2020-04-22 11:00:00,79.62,77.7,81.3,37.34,"MWT1"
2020-04-22 12:00:00,82.49,81.5,83.3,34.06,"MWT1"
2020-04-22 13:00:00,84.33,83.3,85.6,31.72,"MWT1"
2020-04-22 14:00:00,86.05,85.5,86.7,29.58,"MWT1"
2020-04-22 15:00:00,86.85,86,87.8,28.25,"MWT1"
2020-04-22 16:00:00,86.24,85.6,86.7,27.58,"MWT1"
2020-04-22 17:00:00,83.67,81.9,85.8,29.89,"MWT1"
2020-04-22 18:00:00,79.29,76.1,81.9,37.6,"MWT1"
2020-04-22 19:00:00,71.17,66.6,76.3,57.37,"MWT1"
2020-04-22 20:00:00,63.24,61.3,65.7,74.2,"MWT1"
2020-04-22 21:00:00,61.49,61.2,61.7,79.67,"MWT1"
2020-04-22 22:00:00,60.97,60.3,61.5,82.26,"MWT1"
2020-04-22 23:00:00,59.83,59,60.8,80.99,"MWT1"
2020-04-23 00:00:00,59.13,58.6,59.5,83.24,"MWT1"
2020-04-23 01:00:00,57.64,57.2,58.5,87.21,"MWT1"
2020-04-23 02:00:00,56.59,55.4,57.7,87.71,"MWT1"
2020-04-23 03:00:00,54.7,54.3,55.2,91.43,"MWT1"
2020-04-23 04:00:00,53.18,52.5,54.9,93.74,"MWT1"
2020-04-23 05:00:00,54.04,53.2,54.7,94.61,"MWT1"
2020-04-23 06:00:00,56.38,54.3,59.9,91.62,"MWT1"
2020-04-23 07:00:00,64.58,61.5,67.8,72.58,"MWT1"
2020-04-23 08:00:00,71.29,69.1,73.4,62.72,"MWT1"
2020-04-23 09:00:00,77.6,74.8,79.5,51.78,"MWT1"
2020-04-23 10:00:00,80.96,80.4,81.9,44.77,"MWT1"
2020-04-23 11:00:00,83.12,81.7,84.7,41.83,"MWT1"
2020-04-23 12:00:00,86.03,85.5,86.9,38.25,"MWT1"
2020-04-23 13:00:00,86.29,86,86.7,36.26,"MWT1"
2020-04-23 14:00:00,86.93,86,87.6,32.06,"MWT1"
2020-04-23 15:00:00,87.16,86.2,88.3,29.31,"MWT1"
2020-04-23 16:00:00,86.4,85.5,87.6,27.71,"MWT1"
2020-04-23 17:00:00,84.11,82.4,86.9,28.26,"MWT1"
2020-04-23 18:00:00,78.96,75.9,82.2,33.08,"MWT1"
2020-04-23 19:00:00,72.07,70.3,75.7,47.71,"MWT1"
2020-04-23 20:00:00,67.15,64.2,70.2,56.53,"MWT1"
2020-04-23 21:00:00,64.45,62.1,65.8,60.46,"MWT1"
2020-04-23 22:00:00,68.37,64.9,69.8,49.75,"MWT1"
2020-04-23 23:00:00,71.11,70.5,72.3,41.93,"MWT1"
2020-04-24 00:00:00,70.99,69.8,72.1,42.65,"MWT1"
2020-04-24 01:00:00,69.24,68.7,70.2,46.94,"MWT1"
2020-04-24 02:00:00,68.53,64.6,70.3,46.74,"MWT1"
2020-04-24 03:00:00,60.97,55.9,66.6,65.36,"MWT1"
2020-04-24 04:00:00,55.93,55,57.4,78.02,"MWT1"
2020-04-24 05:00:00,54.86,53.2,56.5,80.91,"MWT1"
2020-04-24 06:00:00,58.62,56.8,60.8,75.95,"MWT1"
2020-04-24 07:00:00,66.43,61.5,70.5,62.57,"MWT1"
2020-04-24 08:00:00,74.58,71.6,76.6,41.32,"MWT1"
2020-04-24 09:00:00,78.7,77.9,79.9,34.81,"MWT1"
2020-04-24 10:00:00,81.5,80.4,83.1,30.27,"MWT1"
2020-04-24 11:00:00,84.95,83.5,86,28.67,"MWT1"
2020-04-24 12:00:00,87.44,87.1,88.3,27.83,"MWT1"
2020-04-24 13:00:00,89.13,87.8,90,26.23,"MWT1"
2020-04-24 14:00:00,90.7,89.8,91.2,24.41,"MWT1"
2020-04-24 15:00:00,91.46,90.3,92.7,24.76,"MWT1"
2020-04-24 16:00:00,90.7,89.6,91.6,26.38,"MWT1"
2020-04-24 17:00:00,87.69,86,90.3,28.7,"MWT1"
2020-04-24 18:00:00,82.48,78.6,85.6,36.45,"MWT1"
2020-04-24 19:00:00,73.01,68.5,77.9,55.2,"MWT1"
2020-04-24 20:00:00,63.27,62.1,67.1,70.46,"MWT1"
2020-04-24 21:00:00,63.21,62.1,64.4,69.76,"MWT1"
2020-04-24 22:00:00,63.45,63,64.6,67.31,"MWT1"
2020-04-24 23:00:00,62.83,61.9,63.7,67.98,"MWT1"
2020-04-25 00:00:00,62.18,61.7,62.8,68.32,"MWT1"
2020-04-25 01:00:00,62.08,61.2,62.8,66.6,"MWT1"
2020-04-25 02:00:00,58.73,56.8,60.8,73.72,"MWT1"
2020-04-25 03:00:00,56.34,55.8,57.2,77.23,"MWT1"
2020-04-25 04:00:00,54.78,53.2,56.8,79.87,"MWT1"
2020-04-25 05:00:00,54.53,54.1,55.8,80.99,"MWT1"
2020-04-25 06:00:00,56.98,55,60.4,81.6,"MWT1"
2020-04-25 07:00:00,66.18,60.8,71.4,69.61,"MWT1"
2020-04-25 08:00:00,79.18,73.4,82.2,44.69,"MWT1"
2020-04-25 09:00:00,83.83,82.8,84.6,36.24,"MWT1"
2020-04-25 10:00:00,86.21,84.9,87.6,35.08,"MWT1"
2020-04-25 11:00:00,89.03,88.2,90.3,31.93,"MWT1"
2020-04-25 12:00:00,90.79,90,91.6,28.81,"MWT1"
2020-04-25 13:00:00,92.43,91.8,93.2,28.02,"MWT1"
2020-04-25 14:00:00,93.96,93.4,94.5,26.37,"MWT1"
2020-04-25 15:00:00,93.43,92.5,94.6,24.79,"MWT1"
2020-04-25 16:00:00,92.75,92.1,93.6,26.18,"MWT1"
2020-04-25 17:00:00,89.85,88,92.3,29.83,"MWT1"
2020-04-25 18:00:00,84.16,80.2,87.1,37.37,"MWT1"
2020-04-25 19:00:00,74.16,69.8,79,51.88,"MWT1"
2020-04-25 20:00:00,67.5,66.6,69.1,60.87,"MWT1"
2020-04-25 21:00:00,67.19,66.9,67.6,63.05,"MWT1"
2020-04-25 22:00:00,67.25,65.7,68.4,56.34,"MWT1"
2020-04-25 23:00:00,64.32,63.5,65.1,59.05,"MWT1"
2020-04-26 00:00:00,63.33,62.1,64.2,61.88,"MWT1"
2020-04-26 01:00:00,63.56,62.1,65.3,61.79,"MWT1"
2020-04-26 02:00:00,61.53,60.8,62.1,67.22,"MWT1"
2020-04-26 03:00:00,60.65,59.4,61.9,73.46,"MWT1"
2020-04-26 04:00:00,57.95,56.7,59.2,78.9,"MWT1"
2020-04-26 05:00:00,56.22,55.6,57,80.81,"MWT1"
2020-04-26 06:00:00,60.49,57.2,66.2,75.09,"MWT1"
2020-04-26 07:00:00,67.93,66.7,69.8,60.39,"MWT1"
2020-04-26 08:00:00,74.27,71.1,76.8,50.5,"MWT1"
2020-04-26 09:00:00,80.73,77.9,83.3,37.78,"MWT1"
2020-04-26 10:00:00,84.03,83.1,84.9,31.29,"MWT1"
2020-04-26 11:00:00,87.24,84.9,89.2,29.08,"MWT1"
2020-04-26 12:00:00,89.18,87.8,90.3,26.95,"MWT1"
2020-04-26 13:00:00,91.63,90.5,92.8,24.96,"MWT1"
2020-04-26 14:00:00,92.49,91.8,93.2,23.99,"MWT1"
2020-04-26 15:00:00,92.15,91,92.8,24.41,"MWT1"
2020-04-26 16:00:00,92.21,90.7,93.7,23.45,"MWT1"
2020-04-26 17:00:00,88.48,85.6,91.8,25.72,"MWT1"
2020-04-26 18:00:00,83.12,80.1,85.8,32.7,"MWT1"
2020-04-26 19:00:00,75.86,72.7,79.2,44.62,"MWT1"
