"site","caldate","nObs"
"mikewoolf1",2020-06-16,47
"mikewoolf1",2020-06-17,47
"mikewoolf1",2020-06-18,49
"mikewoolf1",2020-06-19,47
"mikewoolf1",2020-06-20,48
"mikewoolf1",2020-06-23,48
"mikewoolf1",2020-06-24,49
"mikewoolf1",2020-06-25,48
"mikewoolf1",2020-06-26,49
"mikewoolf1",2020-06-27,48
"mikewoolf1",2020-06-28,51
"mikewoolf1",2020-06-29,48
"mikewoolf1",2020-06-30,47
"mikewoolf1",2020-07-02,49
"mikewoolf1",2020-07-03,48
"mikewoolf1",2020-07-04,48
"mikewoolf1",2020-07-05,49
"mikewoolf1",2020-07-06,47
"mikewoolf1",2020-07-07,48
"mikewoolf1",2020-07-08,48
"mikewoolf1",2020-07-09,49
"mikewoolf1",2020-07-10,43
"mikewoolf1",2020-07-11,48
"mikewoolf1",2020-07-12,48
"mikewoolf1",2020-07-13,48
"mikewoolf1",2020-07-14,47
"mikewoolf1",2020-07-15,46
"mikewoolf1",2020-07-16,48
"mikewoolf1",2020-07-17,49
"mikewoolf1",2020-07-18,47
"mikewoolf1",2020-07-19,48
"mikewoolf1",2020-07-20,48
"mikewoolf1",2020-07-21,49
"mikewoolf1",2020-07-22,48
"mikewoolf1",2020-07-23,44
"mikewoolf1",2020-07-24,47
"mikewoolf1",2020-07-25,48
"mikewoolf1",2020-07-26,48
"mikewoolf1",2020-07-27,48
"mikewoolf1",2020-07-28,48
"mikewoolf1",2020-07-30,48
"mikewoolf1",2020-07-31,48
"mikewoolf1",2020-08-01,48
"mikewoolf1",2020-08-02,46
"mikewoolf1",2020-08-03,48
"mikewoolf1",2020-08-04,49
"mikewoolf1",2020-08-05,47
"mikewoolf1",2020-08-06,48
"mikewoolf1",2020-08-07,45
"mikewoolf1",2020-08-08,48
"mikewoolf1",2020-08-09,48
"mikewoolf1",2020-08-10,49
"mikewoolf1",2020-08-11,47
"mikewoolf1",2020-08-12,47
"mikewoolf1",2020-08-13,48
"mikewoolf1",2020-08-14,50
"mikewoolf1",2020-08-15,48
"mikewoolf1",2020-08-16,48
"mikewoolf1",2020-08-17,49
"mikewoolf1",2020-08-18,47
"mikewoolf1",2020-08-19,47
"mikewoolf1",2020-08-20,49
"mikewoolf1",2020-08-21,48
"mikewoolf1",2020-08-22,49
"mikewoolf1",2020-08-23,47
"mikewoolf1",2020-08-24,48
"mikewoolf1",2020-08-25,47
"mikewoolf1",2020-08-26,48
"mikewoolf1",2020-08-27,48
"mikewoolf1",2020-08-28,48
"mikewoolf1",2020-08-29,48
"mikewoolf1",2020-08-30,47
"mikewoolf1",2020-08-31,50
"mikewoolf1",2020-09-01,48
"mikewoolf1",2020-09-02,48
"mikewoolf1",2020-09-03,47
"mikewoolf1",2020-09-04,48
"mikewoolf1",2020-09-05,48
"mikewoolf1",2020-09-06,47
"mikewoolf1",2020-09-07,49
"mikewoolf1",2020-09-08,49
"mikewoolf1",2020-09-09,48
"mikewoolf1",2020-09-10,48
"mikewoolf1",2020-09-11,48
"mikewoolf1",2020-09-12,48
"mikewoolf1",2020-09-13,48
"mikewoolf1",2020-09-14,48
"mikewoolf1",2020-09-15,48
"mikewoolf1",2020-09-16,48
"mikewoolf1",2020-09-17,48
"mikewoolf1",2020-09-18,48
"mikewoolf1",2020-09-19,47
"mikewoolf1",2020-09-20,48
"mikewoolf1",2020-09-21,50
"mikewoolf2",2020-03-13,43
"mikewoolf2",2020-03-14,47
"mikewoolf2",2020-03-15,45
"mikewoolf2",2020-03-18,46
"mikewoolf2",2020-03-20,45
"mikewoolf2",2020-03-22,46
"mikewoolf2",2020-03-25,45
"mikewoolf2",2020-03-26,47
"mikewoolf2",2020-03-27,48
"mikewoolf2",2020-03-29,48
"mikewoolf2",2020-03-30,44
"mikewoolf2",2020-04-03,44
"mikewoolf2",2020-04-04,46
"mikewoolf2",2020-04-05,48
"mikewoolf2",2020-04-06,48
"mikewoolf2",2020-04-07,48
"mikewoolf2",2020-04-08,48
"mikewoolf2",2020-04-09,47
"mikewoolf2",2020-04-10,48
"mikewoolf2",2020-04-11,48
"mikewoolf2",2020-04-12,47
"mikewoolf2",2020-04-13,48
"mikewoolf2",2020-04-14,49
"mikewoolf2",2020-04-15,48
"mikewoolf2",2020-04-16,48
"mikewoolf2",2020-04-17,49
"mikewoolf2",2020-04-18,44
"mikewoolf2",2020-04-19,47
"mikewoolf2",2020-04-20,48
"mikewoolf2",2020-04-21,49
"mikewoolf2",2020-04-22,48
"mikewoolf2",2020-04-23,48
"mikewoolf2",2020-04-24,49
"mikewoolf2",2020-04-25,47
"mikewoolf2",2020-04-26,48
"mikewoolf2",2020-04-27,50
"mikewoolf2",2020-04-28,48
"mikewoolf2",2020-04-29,49
"mikewoolf2",2020-04-30,48
"mikewoolf2",2020-05-01,49
"mikewoolf2",2020-05-02,48
"mikewoolf2",2020-05-03,48
"mikewoolf2",2020-05-04,48
"mikewoolf2",2020-05-05,49
"mikewoolf2",2020-05-06,48
"mikewoolf2",2020-05-07,47
"mikewoolf2",2020-05-08,48
"mikewoolf2",2020-05-09,48
"mikewoolf2",2020-05-10,48
"mikewoolf2",2020-05-11,46
"mikewoolf2",2020-05-31,48
"mikewoolf2",2020-06-01,48
"mikewoolf2",2020-06-02,47
"mikewoolf2",2020-06-03,48
"mikewoolf2",2020-06-04,48
"mikewoolf2",2020-06-05,47
"mikewoolf2",2020-06-09,49
"mikewoolf2",2020-06-10,48
"mikewoolf2",2020-06-15,47
"mikewoolf2",2020-06-16,46
"mikewoolf2",2020-06-17,46
"mikewoolf2",2020-06-18,48
"mikewoolf2",2020-06-22,49
"mikewoolf2",2020-06-23,48
"mikewoolf2",2020-06-24,47
"mikewoolf2",2020-06-25,48
"mikewoolf2",2020-06-29,48
"mikewoolf2",2020-06-30,49
"mikewoolf2",2020-07-01,47
"mikewoolf2",2020-07-02,48
"mikewoolf2",2020-07-04,48
"mikewoolf2",2020-07-05,48
"mikewoolf2",2020-07-06,48
"mikewoolf2",2020-07-07,48
"mikewoolf2",2020-07-08,48
"mikewoolf2",2020-07-09,48
"mikewoolf2",2020-07-10,43
"mikewoolf2",2020-07-11,48
"mikewoolf2",2020-07-12,48
"mikewoolf2",2020-07-13,48
"mikewoolf2",2020-07-14,48
"mikewoolf2",2020-07-15,45
"mikewoolf2",2020-07-16,48
"mikewoolf2",2020-07-17,47
"mikewoolf2",2020-07-18,48
"mikewoolf2",2020-07-19,47
"mikewoolf2",2020-07-20,49
"mikewoolf2",2020-07-21,48
"mikewoolf2",2020-07-22,49
"mikewoolf2",2020-07-23,45
"mikewoolf2",2020-07-24,45
"mikewoolf2",2020-07-25,47
"mikewoolf2",2020-07-26,49
"mikewoolf2",2020-07-27,48
"mikewoolf2",2020-07-28,49
"mikewoolf2",2020-07-30,49
"mikewoolf2",2020-07-31,48
"mikewoolf2",2020-08-01,48
"mikewoolf2",2020-08-02,48
"mikewoolf2",2020-08-03,48
"mikewoolf2",2020-08-04,48
"mikewoolf2",2020-08-05,49
"mikewoolf2",2020-08-06,48
"mikewoolf2",2020-08-07,44
"mikewoolf2",2020-08-08,48
"mikewoolf2",2020-08-09,48
"mikewoolf2",2020-08-10,49
"mikewoolf2",2020-08-11,48
"mikewoolf2",2020-08-12,46
"mikewoolf2",2020-08-14,46
"mikewoolf2",2020-08-15,48
"mikewoolf2",2020-08-16,48
"mikewoolf2",2020-08-17,50
"mikewoolf2",2020-08-18,47
"mikewoolf2",2020-08-19,48
"mikewoolf2",2020-08-20,49
"mikewoolf2",2020-08-21,48
"mikewoolf2",2020-08-22,49
"mikewoolf2",2020-08-23,48
"mikewoolf2",2020-08-24,48
"mikewoolf2",2020-08-25,48
"mikewoolf2",2020-08-26,48
"mikewoolf2",2020-08-27,48
"mikewoolf2",2020-08-28,48
"mikewoolf2",2020-08-29,48
"mikewoolf2",2020-08-30,43
"mikewoolf2",2020-08-31,43
"mikewoolf2",2020-09-01,47
"mikewoolf2",2020-09-02,48
"mikewoolf2",2020-09-05,43
"mikewoolf2",2020-09-06,46
"mikewoolf2",2020-09-07,48
"mikewoolf2",2020-09-08,48
"mikewoolf2",2020-09-09,44
"mikewoolf2",2020-09-12,47
"mikewoolf2",2020-09-13,47
"mikewoolf2",2020-09-14,45
"mikewoolf2",2020-09-16,44
"mikewoolf2",2020-09-18,46
"mikewoolf2",2020-09-19,48
"mikewoolf2",2020-09-20,45
"mikewoolf2",2020-09-21,44
"mikewoolf3",2020-04-22,48
"mikewoolf3",2020-04-23,49
"mikewoolf3",2020-04-24,50
"mikewoolf3",2020-04-25,47
"mikewoolf3",2020-04-26,48
"mikewoolf3",2020-04-27,48
"mikewoolf3",2020-04-28,49
"mikewoolf3",2020-04-29,47
"mikewoolf3",2020-04-30,48
"mikewoolf3",2020-05-01,48
"mikewoolf3",2020-05-02,48
"mikewoolf3",2020-05-03,48
"mikewoolf3",2020-05-04,47
"mikewoolf3",2020-05-05,47
"mikewoolf3",2020-05-06,48
"mikewoolf3",2020-05-07,48
"mikewoolf3",2020-05-08,48
"mikewoolf3",2020-05-09,48
"mikewoolf3",2020-05-10,47
"mikewoolf3",2020-05-11,48
"mikewoolf3",2020-05-12,48
"mikewoolf3",2020-05-15,49
"mikewoolf3",2020-05-16,48
"mikewoolf3",2020-05-17,48
"mikewoolf3",2020-05-18,48
"mikewoolf3",2020-05-19,48
"mikewoolf3",2020-05-20,48
"mikewoolf3",2020-05-21,48
"mikewoolf3",2020-05-22,48
"mikewoolf3",2020-05-23,49
"mikewoolf3",2020-05-24,48
"mikewoolf3",2020-05-25,48
"mikewoolf3",2020-05-26,48
"mikewoolf3",2020-05-27,47
"mikewoolf3",2020-05-28,48
"mikewoolf3",2020-05-29,48
"mikewoolf3",2020-05-30,48
"mikewoolf3",2020-05-31,49
"mikewoolf3",2020-06-01,48
"mikewoolf3",2020-06-02,47
"mikewoolf3",2020-06-03,48
"mikewoolf3",2020-06-04,48
"mikewoolf3",2020-06-05,48
"mikewoolf3",2020-06-06,48
"mikewoolf3",2020-06-07,48
"mikewoolf3",2020-06-08,47
"mikewoolf3",2020-06-09,48
"mikewoolf3",2020-06-10,45
"mikewoolf3",2020-06-12,47
"mikewoolf3",2020-06-13,49
"mikewoolf3",2020-06-14,47
"mikewoolf3",2020-06-15,48
"mikewoolf3",2020-06-16,47
"mikewoolf3",2020-06-17,48
"mikewoolf3",2020-06-18,47
"mikewoolf3",2020-06-19,46
"mikewoolf3",2020-06-20,47
"mikewoolf3",2020-07-03,48
"mikewoolf3",2020-07-04,48
"mikewoolf3",2020-07-05,47
"mikewoolf3",2020-07-06,48
"mikewoolf3",2020-07-07,48
"mikewoolf3",2020-07-08,48
"mikewoolf3",2020-07-09,49
"mikewoolf3",2020-07-10,43
"mikewoolf3",2020-07-11,48
"mikewoolf3",2020-07-12,47
"mikewoolf3",2020-07-13,48
"mikewoolf3",2020-07-14,47
"mikewoolf3",2020-07-15,46
"mikewoolf3",2020-07-16,48
"mikewoolf3",2020-07-17,49
"mikewoolf3",2020-07-18,48
"mikewoolf3",2020-07-19,49
"mikewoolf3",2020-07-20,49
"mikewoolf3",2020-07-21,48
"mikewoolf3",2020-07-22,48
"mikewoolf3",2020-07-23,46
"mikewoolf3",2020-07-24,46
"mikewoolf3",2020-07-25,47
"mikewoolf3",2020-07-26,47
"mikewoolf3",2020-07-27,49
"mikewoolf3",2020-07-28,49
"mikewoolf3",2020-07-29,49
"mikewoolf3",2020-07-30,48
"mikewoolf3",2020-07-31,48
"mikewoolf3",2020-08-01,47
"mikewoolf3",2020-08-02,49
"mikewoolf3",2020-08-03,48
"mikewoolf3",2020-08-04,48
"mikewoolf3",2020-08-05,48
"mikewoolf3",2020-08-06,46
"mikewoolf3",2020-08-07,44
"mikewoolf3",2020-08-08,45
"mikewoolf3",2020-08-10,49
"mikewoolf3",2020-08-11,49
"mikewoolf3",2020-08-12,47
"mikewoolf3",2020-08-14,47
"mikewoolf3",2020-08-15,48
"mikewoolf3",2020-08-16,48
"mikewoolf3",2020-08-17,48
"mikewoolf3",2020-08-18,48
"mikewoolf3",2020-08-19,48
"mikewoolf3",2020-08-20,48
"mikewoolf3",2020-08-21,48
"mikewoolf3",2020-08-22,48
"mikewoolf3",2020-08-23,48
"mikewoolf3",2020-08-24,49
"mikewoolf3",2020-08-25,47
"mikewoolf3",2020-08-26,47
"mikewoolf3",2020-08-27,48
"mikewoolf3",2020-08-28,48
"mikewoolf3",2020-08-29,48
"mikewoolf3",2020-08-30,49
"mikewoolf3",2020-08-31,47
"mikewoolf3",2020-09-01,49
"mikewoolf3",2020-09-02,48
"mikewoolf3",2020-09-03,48
"mikewoolf3",2020-09-04,48
"mikewoolf3",2020-09-05,48
"mikewoolf3",2020-09-06,48
"mikewoolf3",2020-09-07,48
"mikewoolf3",2020-09-08,49
"mikewoolf3",2020-09-09,47
"mikewoolf3",2020-09-10,48
"mikewoolf3",2020-09-11,48
"mikewoolf3",2020-09-12,49
"mikewoolf3",2020-09-13,47
"mikewoolf3",2020-09-14,48
"mikewoolf3",2020-09-15,48
"mikewoolf3",2020-09-16,48
"mikewoolf3",2020-09-17,48
"mikewoolf3",2020-09-18,48
"mikewoolf3",2020-09-19,47
"mikewoolf3",2020-09-20,47
"mikewoolf3",2020-09-21,50
"mikewoolf4",2020-03-07,47
"mikewoolf4",2020-03-08,43
"mikewoolf4",2020-03-09,48
"mikewoolf4",2020-03-10,48
"mikewoolf4",2020-03-11,48
"mikewoolf4",2020-03-12,48
"mikewoolf4",2020-03-13,48
"mikewoolf4",2020-03-14,48
"mikewoolf4",2020-03-15,48
"mikewoolf4",2020-03-16,48
"mikewoolf4",2020-03-17,48
"mikewoolf4",2020-03-18,47
"mikewoolf4",2020-03-19,47
"mikewoolf4",2020-03-20,47
"mikewoolf4",2020-03-21,48
"mikewoolf4",2020-03-22,47
"mikewoolf4",2020-03-23,48
"mikewoolf4",2020-03-24,48
"mikewoolf4",2020-03-25,48
"mikewoolf4",2020-03-26,48
"mikewoolf4",2020-03-27,48
"mikewoolf4",2020-03-28,46
"mikewoolf4",2020-03-29,47
