"site","caldate","nObs"
"MWoolf_east",2019-06-15,47
"MWoolf_east",2019-06-16,47
"MWoolf_east",2019-06-17,48
"MWoolf_east",2019-06-18,48
"MWoolf_east",2019-06-19,48
"MWoolf_east",2019-06-20,48
"MWoolf_east",2019-06-21,45
"MWoolf_east",2019-06-22,48
"MWoolf_east",2019-06-23,48
"MWoolf_east",2019-06-24,48
"MWoolf_east",2019-06-25,48
"MWoolf_east",2019-06-26,46
"MWoolf_east",2019-06-27,48
"MWoolf_east",2019-06-28,43
"MWoolf_east",2019-06-29,49
"MWoolf_east",2019-06-30,48
"MWoolf_east",2019-07-01,48
"MWoolf_east",2019-07-02,48
"MWoolf_east",2019-07-03,49
"MWoolf_east",2019-07-04,47
"MWoolf_east",2019-07-05,47
"MWoolf_east",2019-07-06,48
"MWoolf_east",2019-07-07,48
"MWoolf_east",2019-07-08,48
"MWoolf_east",2019-07-09,48
"MWoolf_east",2019-07-10,46
"MWoolf_east",2019-07-11,47
"MWoolf_east",2019-07-12,48
"MWoolf_east",2019-07-13,48
"MWoolf_east",2019-07-14,49
"MWoolf_east",2019-07-15,48
"MWoolf_east",2019-07-16,48
"MWoolf_east",2019-07-17,49
"MWoolf_east",2019-07-18,48
"MWoolf_east",2019-07-19,47
"MWoolf_east",2019-07-20,47
"MWoolf_east",2019-07-21,48
"MWoolf_east",2019-07-22,48
"MWoolf_east",2019-07-23,49
"MWoolf_east",2019-07-24,48
"MWoolf_east",2019-07-25,48
"MWoolf_east",2019-07-26,47
"MWoolf_east",2019-07-27,47
"MWoolf_east",2019-07-28,48
"MWoolf_east",2019-07-29,48
"MWoolf_east",2019-07-30,46
"MWoolf_east",2019-07-31,44
"MWoolf_east",2019-08-04,45
"MWoolf_east",2019-08-08,46
"MWoolf_east",2019-08-09,50
"MWoolf_east",2019-08-10,46
"MWoolf_east",2019-08-11,49
"MWoolf_east",2019-08-12,45
"MWoolf_east",2019-08-13,43
"MWoolf_east",2019-08-15,48
"MWoolf_east",2019-08-16,49
"MWoolf_east",2019-08-17,46
"MWoolf_east",2019-08-18,48
"MWoolf_east",2019-08-20,43
"MWoolf_east",2019-08-21,48
"MWoolf_east",2019-08-22,46
"MWoolf_east",2019-08-23,48
"MWoolf_east",2019-08-24,47
"MWoolf_east",2019-08-25,48
"MWoolf_east",2019-08-26,43
"MWoolf_east",2019-08-27,48
"MWoolf_east",2019-08-28,47
"MWoolf_east",2019-09-01,45
"MWoolf_east",2019-09-03,44
"MWoolf_east",2019-09-04,44
"MWoolf_east",2019-09-14,46
"MWoolf_east",2019-09-15,43
"MWoolf_east",2019-09-16,43
"MWoolf_east",2019-09-17,47
"MWoolf_east",2019-09-18,47
"MWoolf_east",2019-09-19,48
"MWoolf_east",2019-09-20,46
"MWoolf_east",2019-09-21,46
"MWoolf_east",2019-09-22,48
"MWoolf_east",2019-09-23,44
"MWoolf_east",2019-09-24,43
"MWoolf_east",2019-09-25,44
"MWoolf_east",2019-09-30,47
"MWoolf_east",2019-10-01,43
"MWoolf_east",2019-10-03,43
"MWoolf_east",2019-10-04,45
"MWoolf_east",2019-10-15,46
"MWoolf_east",2019-10-16,46
"MWoolf_east",2019-10-17,47
"MWoolf_east",2019-10-18,46
"MWoolf_east",2019-10-19,47
"MWoolf_east",2019-10-20,44
"MWoolf_east",2019-10-21,44
"MWoolf_east",2019-10-22,45
"MWoolf_east",2019-10-23,46
"MWoolf_east",2019-10-24,44
"MWoolf_east",2019-10-25,43
"MWoolf_east",2019-10-26,46
"MWoolf_east",2019-10-27,45
"MWoolf_east",2019-10-28,47
"MWoolf_east",2019-10-29,49
"MWoolf_east",2019-10-30,48
"MWoolf_west",2019-05-31,47
"MWoolf_west",2019-06-01,48
"MWoolf_west",2019-06-02,48
"MWoolf_west",2019-06-03,47
"MWoolf_west",2019-06-04,49
"MWoolf_west",2019-06-05,47
"MWoolf_west",2019-06-06,49
"MWoolf_west",2019-06-07,48
"MWoolf_west",2019-06-08,48
"MWoolf_west",2019-06-09,48
"MWoolf_west",2019-06-10,48
"MWoolf_west",2019-06-11,48
"MWoolf_west",2019-06-12,48
"MWoolf_west",2019-06-13,48
"MWoolf_west",2019-06-14,48
"MWoolf_west",2019-06-15,48
"MWoolf_west",2019-06-16,48
"MWoolf_west",2019-06-17,48
"MWoolf_west",2019-06-18,48
"MWoolf_west",2019-06-19,49
"MWoolf_west",2019-06-20,48
"MWoolf_west",2019-06-21,48
"MWoolf_west",2019-06-22,47
"MWoolf_west",2019-06-23,48
"MWoolf_west",2019-06-24,48
"MWoolf_west",2019-06-25,48
"MWoolf_west",2019-06-26,47
"MWoolf_west",2019-06-27,48
"MWoolf_west",2019-06-28,48
"MWoolf_west",2019-06-29,47
"MWoolf_west",2019-06-30,49
"MWoolf_west",2019-07-01,48
"MWoolf_west",2019-07-02,48
"MWoolf_west",2019-07-03,49
"MWoolf_west",2019-07-04,48
"MWoolf_west",2019-07-05,47
"MWoolf_west",2019-07-06,47
"MWoolf_west",2019-07-07,48
"MWoolf_west",2019-07-08,49
"MWoolf_west",2019-07-09,50
"MWoolf_west",2019-07-10,48
"MWoolf_west",2019-07-11,48
"MWoolf_west",2019-07-12,49
"MWoolf_west",2019-07-13,48
"MWoolf_west",2019-07-14,49
"MWoolf_west",2019-07-15,49
"MWoolf_west",2019-07-16,48
"MWoolf_west",2019-07-17,49
"MWoolf_west",2019-07-18,48
"MWoolf_west",2019-07-19,47
"MWoolf_west",2019-07-20,48
"MWoolf_west",2019-07-21,48
"MWoolf_west",2019-07-22,49
"MWoolf_west",2019-07-23,49
"MWoolf_west",2019-07-24,47
"MWoolf_west",2019-07-25,48
"MWoolf_west",2019-07-26,48
"MWoolf_west",2019-07-27,48
"MWoolf_west",2019-07-28,49
"MWoolf_west",2019-07-29,48
"MWoolf_west",2019-07-30,48
"MWoolf_west",2019-07-31,48
"MWoolf_west",2019-08-01,48
"MWoolf_west",2019-08-02,49
"MWoolf_west",2019-08-03,48
"MWoolf_west",2019-08-04,48
"MWoolf_west",2019-08-05,48
"MWoolf_west",2019-08-06,48
"MWoolf_west",2019-08-07,49
"MWoolf_west",2019-08-08,48
"MWoolf_west",2019-08-09,50
"MWoolf_west",2019-08-10,47
"MWoolf_west",2019-08-11,47
"MWoolf_west",2019-08-12,48
"MWoolf_west",2019-08-13,47
"MWoolf_west",2019-08-14,50
"MWoolf_west",2019-08-15,48
"MWoolf_west",2019-08-16,48
"MWoolf_west",2019-08-17,48
"MWoolf_west",2019-08-18,47
"MWoolf_west",2019-08-19,49
"MWoolf_west",2019-08-20,49
"MWoolf_west",2019-08-21,48
"MWoolf_west",2019-08-22,48
"MWoolf_west",2019-08-23,51
"MWoolf_west",2019-08-24,48
"MWoolf_west",2019-08-25,47
"MWoolf_west",2019-08-26,47
"MWoolf_west",2019-08-27,48
"MWoolf_west",2019-08-28,48
"MWoolf_west",2019-08-29,50
"MWoolf_west",2019-08-30,48
"MWoolf_west",2019-08-31,48
"MWoolf_west",2019-09-01,47
"MWoolf_west",2019-09-02,48
"MWoolf_west",2019-09-03,47
"MWoolf_west",2019-09-04,49
"MWoolf_west",2019-09-05,48
"MWoolf_west",2019-09-06,50
"MWoolf_west",2019-09-07,48
"MWoolf_west",2019-09-08,48
"MWoolf_west",2019-09-09,45
"MWoolf_west",2019-09-11,48
"MWoolf_west",2019-09-12,49
"MWoolf_west",2019-09-13,49
"MWoolf_west",2019-09-14,47
"MWoolf_west",2019-09-15,48
"MWoolf_west",2019-09-16,47
"MWoolf_west",2019-09-17,48
"MWoolf_west",2019-09-18,48
"MWoolf_west",2019-09-19,49
"MWoolf_west",2019-09-20,48
"MWoolf_west",2019-09-21,47
"MWoolf_west",2019-09-22,48
"MWoolf_west",2019-09-23,49
"MWoolf_west",2019-09-24,48
